lcTime pitch roll yaw velE velN velU lat lon height biasGx biasGy biasGz biasAx biasAy biasAz leverx levery leverz dt psrCorr psrRateDrift utc
1730951755 -1.181838167527e+00 -4.152713587268e+00 1.503858867792e+01 -2.734841406780e-01 3.799679501422e-01 9.977740946927e-01 5.595421010859e-01 2.073586983574e+00 4.974170822118e+01 -1.562381874460e-06 -2.836897756330e-06 -2.328735628686e-07 1.319410920443e-04 -4.204731205807e-04 2.068080123385e-02 9.999294759726e-03 1.000011130521e-02 7.228680540909e-01 4.996915892972e-03 -1.331179922117e+05 9.856843755801e+00 0.000000000000e+00 
1730951755 -9.402179515504e-01 -3.610470758498e+00 1.509888990208e+01 -3.679526780914e-01 6.564117804334e-01 1.796086681646e+00 5.595421798392e-01 2.073586339936e+00 5.660849479995e+01 -1.279233629963e-05 -1.545332849342e-05 -7.791435749041e-07 3.190255772951e-03 -1.266619088346e-03 9.350095552213e-02 9.999014206937e-03 9.999819213719e-03 6.800496361461e-01 4.992589239193e-03 -1.331123906784e+05 1.003248970948e+00 0.000000000000e+00 
1730951755 -2.981781838630e-01 -3.423413364622e+00 1.518268013914e+01 -3.712673290602e-01 6.190641536158e-01 2.287624791768e+00 5.595422074066e-01 2.073586044022e+00 6.121276858343e+01 -4.118360978138e-05 -3.530258090795e-05 -1.349981020842e-06 9.605784834133e-03 -1.572459133326e-03 2.221694679036e-01 9.998872973952e-03 9.999469310282e-03 6.588200449302e-01 4.991341686174e-03 -1.331089810860e+05 9.889677818076e-01 0.000000000000e+00 
1730951756 -2.981667055522e-01 -3.352729648145e+00 1.526837360603e+01 -4.581491263471e-01 8.144172972046e-01 2.394906134137e+00 5.595422778630e-01 2.073585835823e+00 6.410870190999e+01 -6.399508235351e-05 -6.765540673229e-05 -3.104126720587e-06 1.703632337791e-02 -1.649457374659e-03 3.780161333721e-01 9.998805557762e-03 9.999437461423e-03 6.504117818015e-01 4.992873379181e-03 -1.331068286534e+05 9.889956925404e-01 0.000000000000e+00 
1730951756 -4.754274826910e-02 -3.327525525425e+00 1.544607760993e+01 -4.923914970943e-01 7.635385320590e-01 2.247772773568e+00 5.595423181225e-01 2.073585698674e+00 6.508001398192e+01 -1.003868407876e-04 -1.183037761774e-04 -7.635831574171e-06 2.355056889402e-02 -8.005677829162e-04 5.272896761665e-01 9.998724698068e-03 9.999779906454e-03 6.496141296395e-01 4.994387377216e-03 -1.331063076089e+05 8.517797088140e-01 0.000000000000e+00 
1730951756 3.004622159391e-01 -3.292137649999e+00 1.565072743219e+01 -4.736479979479e-01 5.016778524695e-01 2.002905392722e+00 5.595422713981e-01 2.073585584086e+00 6.594527046421e+01 -1.369330549801e-04 -2.011099087846e-04 -1.411775913769e-05 2.826000079401e-02 1.522048244826e-03 6.477351582741e-01 9.998643927112e-03 1.000026281186e-02 6.441700601161e-01 4.991309819441e-03 -1.331058779111e+05 6.909555765287e-01 0.000000000000e+00 
1730951756 3.911345043891e-01 -3.186971474075e+00 1.572173797150e+01 -4.683213894609e-01 5.137163941383e-01 1.702455254055e+00 5.595422992352e-01 2.073585514980e+00 6.609567913346e+01 -1.418384951416e-04 -3.247643378335e-04 -1.734205936557e-05 3.190703437619e-02 4.516500191954e-03 7.389175015648e-01 9.998562057928e-03 1.000050054833e-02 6.431010316527e-01 4.987397371840e-03 -1.331056399620e+05 6.200926302095e-01 0.000000000000e+00 
1730951756 4.143310405485e-01 -3.027448031826e+00 1.591516751462e+01 -4.450136961101e-01 4.671969621498e-01 1.424468630460e+00 5.595423054340e-01 2.073585455706e+00 6.615730763740e+01 -1.569320166077e-04 -4.683184621400e-04 -2.127047776884e-05 3.398411912626e-02 7.193616153851e-03 8.036400778665e-01 9.998449705319e-03 1.000053702033e-02 6.404063083596e-01 4.982797852334e-03 -1.331056041399e+05 5.248724884847e-01 0.000000000000e+00 
1730951757 4.967642776262e-01 -2.885601945073e+00 1.596394348555e+01 -3.769832199998e-01 3.798931251729e-01 1.213103365734e+00 5.595422814676e-01 2.073585457268e+00 6.609312479537e+01 -1.900504386977e-04 -6.337485189102e-04 -1.948914547156e-05 3.571255307816e-02 9.729095137507e-03 8.496646236686e-01 9.998363227129e-03 1.000058557997e-02 6.369896451890e-01 4.979301021954e-03 -1.331058758536e+05 4.107783927297e-01 0.000000000000e+00 
1730951757 5.213680220767e-01 -2.791662851239e+00 1.603145450012e+01 -3.416827658260e-01 3.523120753968e-01 1.018304274785e+00 5.595422866163e-01 2.073585425288e+00 6.604959964583e+01 -2.084890658046e-04 -7.839006262932e-04 -2.026698477149e-05 3.620295399964e-02 1.187292751629e-02 8.824532787012e-01 9.998283434946e-03 1.000059741750e-02 6.343430497662e-01 4.976990329677e-03 -1.331061772754e+05 3.102449649042e-01 0.000000000000e+00 
