Time Log File
Elapsed time: 0.0122433 seconds
Elapsed time: 0.0137369 seconds
Elapsed time: 0.0147711 seconds
Elapsed time: 0.0149061 seconds
Elapsed time: 0.0129832 seconds
Elapsed time: 0.0124245 seconds
Elapsed time: 0.0123753 seconds
Elapsed time: 0.0126613 seconds
Elapsed time: 0.0116321 seconds
Elapsed time: 0.00997546 seconds
Elapsed time: 0.00975571 seconds
Elapsed time: 0.00975837 seconds
Elapsed time: 0.00974967 seconds
Elapsed time: 0.00974375 seconds
Elapsed time: 0.00976454 seconds
Elapsed time: 0.00976517 seconds
Elapsed time: 0.009746 seconds
Elapsed time: 0.00975879 seconds
Elapsed time: 0.0105741 seconds
Elapsed time: 0.00978471 seconds
Elapsed time: 0.00974983 seconds
Elapsed time: 0.00979279 seconds
Elapsed time: 0.00973887 seconds
Elapsed time: 0.0118685 seconds
Elapsed time: 0.0100468 seconds
Elapsed time: 0.0113743 seconds
Elapsed time: 0.0107686 seconds
Elapsed time: 0.0101321 seconds
Elapsed time: 0.0109349 seconds
Elapsed time: 0.0101077 seconds
Elapsed time: 0.0100913 seconds
Elapsed time: 0.00979833 seconds
Elapsed time: 0.0103551 seconds
Elapsed time: 0.00981896 seconds
Elapsed time: 0.00621204 seconds
Elapsed time: 0.00173996 seconds
Elapsed time: 0.00364675 seconds
Elapsed time: 0.00622729 seconds
Elapsed time: 0.00750346 seconds
Elapsed time: 0.00880033 seconds
Elapsed time: 0.00942608 seconds
Elapsed time: 0.00945142 seconds
Elapsed time: 0.00986354 seconds
Elapsed time: 0.0101963 seconds
Elapsed time: 0.0100447 seconds
Elapsed time: 0.00981558 seconds
Elapsed time: 0.00975742 seconds
Elapsed time: 0.0106007 seconds
Elapsed time: 0.0103898 seconds
Elapsed time: 0.00977263 seconds
Elapsed time: 0.00977263 seconds
Elapsed time: 0.00973421 seconds
Elapsed time: 0.00976196 seconds
Elapsed time: 0.00989008 seconds
Elapsed time: 0.00980987 seconds
Elapsed time: 0.00974213 seconds
Elapsed time: 0.00977633 seconds
Elapsed time: 0.00977788 seconds
Elapsed time: 0.00973958 seconds
Elapsed time: 0.00978446 seconds
Elapsed time: 0.0102474 seconds
Elapsed time: 0.00973333 seconds
Elapsed time: 0.00975825 seconds
Elapsed time: 0.00975608 seconds
Elapsed time: 0.00974325 seconds
Elapsed time: 0.00975358 seconds
Elapsed time: 0.00976767 seconds
Elapsed time: 0.00975696 seconds
Elapsed time: 0.00978446 seconds
Elapsed time: 0.00975375 seconds
Elapsed time: 0.00976179 seconds
Elapsed time: 0.0107445 seconds
Elapsed time: 0.00978704 seconds
Elapsed time: 0.00978563 seconds
Elapsed time: 0.00976333 seconds
Elapsed time: 0.00974863 seconds
Elapsed time: 0.0106561 seconds
Elapsed time: 0.00976667 seconds
Elapsed time: 0.00979317 seconds
Elapsed time: 0.00975471 seconds
Elapsed time: 0.00980917 seconds
Elapsed time: 0.00976537 seconds
Elapsed time: 0.00975979 seconds
Elapsed time: 0.00976221 seconds
Elapsed time: 0.00981879 seconds
Elapsed time: 0.00975108 seconds
Elapsed time: 0.00973246 seconds
Elapsed time: 0.00975467 seconds
Elapsed time: 0.00975171 seconds
Elapsed time: 0.00977392 seconds
Elapsed time: 0.00976162 seconds
Elapsed time: 0.00977058 seconds
Elapsed time: 0.00973958 seconds
Elapsed time: 0.00976554 seconds
Elapsed time: 0.00979287 seconds
Elapsed time: 0.00979162 seconds
Elapsed time: 0.00974454 seconds
Elapsed time: 0.00974467 seconds
Elapsed time: 0.00976788 seconds
Elapsed time: 0.00973942 seconds
Elapsed time: 0.0102252 seconds
Elapsed time: 0.00973046 seconds
Elapsed time: 0.00986296 seconds
Elapsed time: 0.00979596 seconds
Elapsed time: 0.0103905 seconds
Elapsed time: 0.0106237 seconds
Elapsed time: 0.00977671 seconds
Elapsed time: 0.00973638 seconds
Elapsed time: 0.0100124 seconds
Elapsed time: 0.00977433 seconds
Elapsed time: 0.00983183 seconds
Elapsed time: 0.00979567 seconds
Elapsed time: 0.00977592 seconds
Elapsed time: 0.0126138 seconds
Elapsed time: 0.00974325 seconds
Elapsed time: 0.00978592 seconds
Elapsed time: 0.00974513 seconds
Elapsed time: 0.00975546 seconds
Elapsed time: 0.0097495 seconds
Elapsed time: 0.00981037 seconds
Elapsed time: 0.00981638 seconds
Elapsed time: 0.00973587 seconds
Elapsed time: 0.00979146 seconds
Elapsed time: 0.00980875 seconds
Elapsed time: 0.00977004 seconds
Elapsed time: 0.00982558 seconds
Elapsed time: 0.00978675 seconds
Elapsed time: 0.00975875 seconds
Elapsed time: 0.00976554 seconds
Elapsed time: 0.00982608 seconds
Elapsed time: 0.00975104 seconds
Elapsed time: 0.00976829 seconds
Elapsed time: 0.00974308 seconds
Elapsed time: 0.00976467 seconds
Elapsed time: 0.0120298 seconds
Elapsed time: 0.00976058 seconds
Elapsed time: 0.00974446 seconds
Elapsed time: 0.00978025 seconds
Elapsed time: 0.00973446 seconds
Elapsed time: 0.00978787 seconds
Elapsed time: 0.0127212 seconds
Elapsed time: 0.00978975 seconds
Elapsed time: 0.00974163 seconds
Elapsed time: 0.0101133 seconds
Elapsed time: 0.00973721 seconds
Elapsed time: 0.00976913 seconds
Elapsed time: 0.00974475 seconds
Elapsed time: 0.00945704 seconds
Elapsed time: 0.00973583 seconds
Elapsed time: 0.00978225 seconds
Elapsed time: 0.0100722 seconds
Elapsed time: 0.010081 seconds
Elapsed time: 0.0100624 seconds
Elapsed time: 0.0100769 seconds
Elapsed time: 0.0100715 seconds
Elapsed time: 0.0101339 seconds
Elapsed time: 0.00973754 seconds
Elapsed time: 0.00975783 seconds
Elapsed time: 0.00975558 seconds
Elapsed time: 0.00945167 seconds
Elapsed time: 0.00944192 seconds
Elapsed time: 0.0091565 seconds
Elapsed time: 0.0090965 seconds
Elapsed time: 0.0116387 seconds
