Time Log File
Elapsed time: 0.0712658 seconds
Elapsed time: 0.0625539 seconds
Elapsed time: 0.0560703 seconds
Elapsed time: 0.0524826 seconds
Elapsed time: 0.0509902 seconds
Elapsed time: 0.0470584 seconds
Elapsed time: 0.04682 seconds
Elapsed time: 0.0412962 seconds
Elapsed time: 0.0407873 seconds
Elapsed time: 0.0414005 seconds
Elapsed time: 0.0399905 seconds
Elapsed time: 0.0411763 seconds
Elapsed time: 0.0406737 seconds
Elapsed time: 0.0416128 seconds
Elapsed time: 0.0428826 seconds
Elapsed time: 0.0408538 seconds
Elapsed time: 0.040485 seconds
Elapsed time: 0.042003 seconds
Elapsed time: 0.0406692 seconds
Elapsed time: 0.0394923 seconds
Elapsed time: 0.0407461 seconds
Elapsed time: 0.0398185 seconds
Elapsed time: 0.0409701 seconds
Elapsed time: 0.039238 seconds
Elapsed time: 0.0404171 seconds
Elapsed time: 0.0404912 seconds
Elapsed time: 0.0404057 seconds
Elapsed time: 0.0417655 seconds
Elapsed time: 0.0428569 seconds
Elapsed time: 0.0432287 seconds
Elapsed time: 0.0440095 seconds
Elapsed time: 0.0429882 seconds
Elapsed time: 0.0425538 seconds
Elapsed time: 0.0395988 seconds
Elapsed time: 0.0270906 seconds
Elapsed time: 0.00752967 seconds
Elapsed time: 0.0195017 seconds
Elapsed time: 0.0333158 seconds
Elapsed time: 0.0353716 seconds
Elapsed time: 0.0415916 seconds
Elapsed time: 0.0408682 seconds
Elapsed time: 0.0395701 seconds
Elapsed time: 0.0443424 seconds
Elapsed time: 0.0404964 seconds
Elapsed time: 0.0431418 seconds
Elapsed time: 0.0412662 seconds
Elapsed time: 0.040248 seconds
Elapsed time: 0.0397329 seconds
Elapsed time: 0.0414152 seconds
Elapsed time: 0.0407285 seconds
Elapsed time: 0.0394167 seconds
Elapsed time: 0.042168 seconds
Elapsed time: 0.0420486 seconds
Elapsed time: 0.0421855 seconds
Elapsed time: 0.040149 seconds
Elapsed time: 0.0410087 seconds
Elapsed time: 0.0397008 seconds
Elapsed time: 0.0405144 seconds
Elapsed time: 0.040774 seconds
Elapsed time: 0.039264 seconds
Elapsed time: 0.0396934 seconds
Elapsed time: 0.038627 seconds
Elapsed time: 0.0388561 seconds
Elapsed time: 0.0393324 seconds
Elapsed time: 0.0431039 seconds
Elapsed time: 0.0400558 seconds
Elapsed time: 0.0399493 seconds
Elapsed time: 0.0413227 seconds
Elapsed time: 0.0425412 seconds
Elapsed time: 0.0457727 seconds
Elapsed time: 0.0438295 seconds
Elapsed time: 0.044255 seconds
Elapsed time: 0.0429447 seconds
Elapsed time: 0.0441225 seconds
Elapsed time: 0.0438629 seconds
Elapsed time: 0.0441882 seconds
Elapsed time: 0.0436956 seconds
Elapsed time: 0.0432958 seconds
Elapsed time: 0.0442072 seconds
Elapsed time: 0.0435483 seconds
Elapsed time: 0.0434474 seconds
Elapsed time: 0.0429219 seconds
Elapsed time: 0.0426325 seconds
Elapsed time: 0.0412231 seconds
Elapsed time: 0.0420333 seconds
Elapsed time: 0.0430056 seconds
Elapsed time: 0.0422904 seconds
Elapsed time: 0.041567 seconds
Elapsed time: 0.0426184 seconds
Elapsed time: 0.0417945 seconds
Elapsed time: 0.0400172 seconds
Elapsed time: 0.0403796 seconds
Elapsed time: 0.0423598 seconds
Elapsed time: 0.041738 seconds
Elapsed time: 0.0424542 seconds
Elapsed time: 0.0419897 seconds
Elapsed time: 0.0401821 seconds
Elapsed time: 0.0391032 seconds
Elapsed time: 0.0393449 seconds
Elapsed time: 0.0402494 seconds
Elapsed time: 0.0384613 seconds
Elapsed time: 0.0395307 seconds
Elapsed time: 0.0405714 seconds
Elapsed time: 0.049886 seconds
Elapsed time: 0.0403255 seconds
Elapsed time: 0.0397972 seconds
Elapsed time: 0.0404232 seconds
Elapsed time: 0.0390327 seconds
Elapsed time: 0.0392238 seconds
Elapsed time: 0.0402485 seconds
Elapsed time: 0.0389506 seconds
Elapsed time: 0.0407318 seconds
Elapsed time: 0.0408186 seconds
Elapsed time: 0.0464186 seconds
Elapsed time: 0.0397687 seconds
Elapsed time: 0.0403888 seconds
Elapsed time: 0.0396025 seconds
Elapsed time: 0.0406096 seconds
Elapsed time: 0.0408876 seconds
Elapsed time: 0.0413359 seconds
Elapsed time: 0.0443385 seconds
Elapsed time: 0.0434005 seconds
Elapsed time: 0.0420925 seconds
Elapsed time: 0.0413842 seconds
Elapsed time: 0.0427524 seconds
Elapsed time: 0.0428089 seconds
Elapsed time: 0.0427367 seconds
Elapsed time: 0.0421508 seconds
Elapsed time: 0.043388 seconds
Elapsed time: 0.0415845 seconds
Elapsed time: 0.0428385 seconds
Elapsed time: 0.043369 seconds
Elapsed time: 0.0419881 seconds
Elapsed time: 0.0435577 seconds
Elapsed time: 0.0429138 seconds
Elapsed time: 0.0424277 seconds
Elapsed time: 0.0447479 seconds
Elapsed time: 0.0443302 seconds
Elapsed time: 0.0434972 seconds
Elapsed time: 0.0434903 seconds
Elapsed time: 0.0426828 seconds
Elapsed time: 0.0421335 seconds
Elapsed time: 0.0422563 seconds
Elapsed time: 0.0404494 seconds
Elapsed time: 0.0395018 seconds
Elapsed time: 0.039449 seconds
Elapsed time: 0.0411574 seconds
Elapsed time: 0.0391489 seconds
Elapsed time: 0.0411838 seconds
Elapsed time: 0.0394036 seconds
Elapsed time: 0.0433979 seconds
Elapsed time: 0.0413963 seconds
Elapsed time: 0.0435524 seconds
Elapsed time: 0.0420975 seconds
Elapsed time: 0.0420702 seconds
Elapsed time: 0.0429472 seconds
Elapsed time: 0.0422719 seconds
